[2025-12-15 16:37:22] ID=1/18 | Status=FAILED | Duration=00:00:00.02 | Params={'reverse': 1, 'lbd': 0.1, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 16:37:22] ID=2/18 | Status=FAILED | Duration=00:00:00.02 | Params={'reverse': 1, 'lbd': 0.1, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 16:37:22] ID=3/18 | Status=FAILED | Duration=00:00:00.02 | Params={'reverse': 1, 'lbd': 0.1, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 16:37:22] ID=4/18 | Status=FAILED | Duration=00:00:00.02 | Params={'reverse': 1, 'lbd': 0.5, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 16:37:22] ID=5/18 | Status=FAILED | Duration=00:00:00.02 | Params={'reverse': 1, 'lbd': 0.5, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 16:37:22] ID=6/18 | Status=FAILED | Duration=00:00:00.03 | Params={'reverse': 1, 'lbd': 0.5, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 16:37:22] ID=7/18 | Status=FAILED | Duration=00:00:00.03 | Params={'reverse': 1, 'lbd': 1.0, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 16:37:22] ID=8/18 | Status=FAILED | Duration=00:00:00.03 | Params={'reverse': 1, 'lbd': 1.0, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 16:37:22] ID=9/18 | Status=FAILED | Duration=00:00:00.02 | Params={'reverse': 1, 'lbd': 1.0, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 16:37:22] ID=10/18 | Status=FAILED | Duration=00:00:00.03 | Params={'reverse': 2, 'lbd': 0.1, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 16:37:22] ID=11/18 | Status=FAILED | Duration=00:00:00.03 | Params={'reverse': 2, 'lbd': 0.1, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 16:37:22] ID=12/18 | Status=FAILED | Duration=00:00:00.02 | Params={'reverse': 2, 'lbd': 0.1, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 16:37:22] ID=13/18 | Status=FAILED | Duration=00:00:00.02 | Params={'reverse': 2, 'lbd': 0.5, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 16:37:22] ID=14/18 | Status=FAILED | Duration=00:00:00.03 | Params={'reverse': 2, 'lbd': 0.5, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 16:37:22] ID=15/18 | Status=FAILED | Duration=00:00:00.03 | Params={'reverse': 2, 'lbd': 0.5, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 16:37:22] ID=16/18 | Status=FAILED | Duration=00:00:00.02 | Params={'reverse': 2, 'lbd': 1.0, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 16:37:22] ID=17/18 | Status=FAILED | Duration=00:00:00.02 | Params={'reverse': 2, 'lbd': 1.0, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 16:37:22] ID=18/18 | Status=FAILED | Duration=00:00:00.03 | Params={'reverse': 2, 'lbd': 1.0, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 16:39:56] ID=1/18 | Status=SUCCESS | Duration=00:13:34.21 | Params={'reverse': 1, 'lbd': 0.1, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 16:53:31] ID=2/18 | Status=SUCCESS | Duration=00:12:00.39 | Params={'reverse': 1, 'lbd': 0.1, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 17:05:31] ID=3/18 | Status=SUCCESS | Duration=00:09:53.59 | Params={'reverse': 1, 'lbd': 0.1, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 17:15:25] ID=4/18 | Status=SUCCESS | Duration=00:14:23.57 | Params={'reverse': 1, 'lbd': 0.5, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 17:29:48] ID=5/18 | Status=SUCCESS | Duration=00:12:42.85 | Params={'reverse': 1, 'lbd': 0.5, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 17:42:31] ID=6/18 | Status=SUCCESS | Duration=00:12:06.60 | Params={'reverse': 1, 'lbd': 0.5, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 17:54:38] ID=7/18 | Status=SUCCESS | Duration=00:08:35.31 | Params={'reverse': 1, 'lbd': 1.0, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 18:03:13] ID=8/18 | Status=SUCCESS | Duration=00:13:40.76 | Params={'reverse': 1, 'lbd': 1.0, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 18:16:54] ID=9/18 | Status=SUCCESS | Duration=00:12:47.50 | Params={'reverse': 1, 'lbd': 1.0, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 18:29:41] ID=10/18 | Status=SUCCESS | Duration=00:09:06.62 | Params={'reverse': 2, 'lbd': 0.1, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 18:38:48] ID=11/18 | Status=SUCCESS | Duration=00:08:50.53 | Params={'reverse': 2, 'lbd': 0.1, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 18:47:38] ID=12/18 | Status=SUCCESS | Duration=00:08:56.12 | Params={'reverse': 2, 'lbd': 0.1, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 18:56:34] ID=13/18 | Status=SUCCESS | Duration=00:08:49.77 | Params={'reverse': 2, 'lbd': 0.5, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 19:05:24] ID=14/18 | Status=SUCCESS | Duration=00:08:49.22 | Params={'reverse': 2, 'lbd': 0.5, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 19:14:13] ID=15/18 | Status=SUCCESS | Duration=00:08:54.49 | Params={'reverse': 2, 'lbd': 0.5, 'ufn_warmup': 5, 'decay': 0.999}
[2025-12-15 19:23:08] ID=16/18 | Status=SUCCESS | Duration=00:09:11.26 | Params={'reverse': 2, 'lbd': 1.0, 'ufn_warmup': 0, 'decay': 0.999}
[2025-12-15 19:32:19] ID=17/18 | Status=SUCCESS | Duration=00:08:43.22 | Params={'reverse': 2, 'lbd': 1.0, 'ufn_warmup': 3, 'decay': 0.999}
[2025-12-15 19:41:02] ID=18/18 | Status=SUCCESS | Duration=00:08:40.07 | Params={'reverse': 2, 'lbd': 1.0, 'ufn_warmup': 5, 'decay': 0.999}
