[2025-12-15 23:11:06] ID=1/16 | Status=FAILED | Duration=00:00:02.95 | Params={'d_epoch': 1, 'beta': 0.01, 'cfg_scale_text': 1.0, 'cfg_scale_visual': 1.0}
[2025-12-15 23:11:09] ID=2/16 | Status=FAILED | Duration=00:00:02.88 | Params={'d_epoch': 1, 'beta': 0.01, 'cfg_scale_text': 1.0, 'cfg_scale_visual': 1.1}
[2025-12-15 23:11:12] ID=3/16 | Status=FAILED | Duration=00:00:02.87 | Params={'d_epoch': 1, 'beta': 0.01, 'cfg_scale_text': 1.1, 'cfg_scale_visual': 1.0}
[2025-12-15 23:11:15] ID=4/16 | Status=FAILED | Duration=00:00:02.83 | Params={'d_epoch': 1, 'beta': 0.01, 'cfg_scale_text': 1.1, 'cfg_scale_visual': 1.1}
[2025-12-15 23:11:18] ID=5/16 | Status=FAILED | Duration=00:00:03.10 | Params={'d_epoch': 1, 'beta': 0.005, 'cfg_scale_text': 1.0, 'cfg_scale_visual': 1.0}
[2025-12-15 23:11:21] ID=6/16 | Status=FAILED | Duration=00:00:02.94 | Params={'d_epoch': 1, 'beta': 0.005, 'cfg_scale_text': 1.0, 'cfg_scale_visual': 1.1}
[2025-12-15 23:11:24] ID=7/16 | Status=FAILED | Duration=00:00:02.83 | Params={'d_epoch': 1, 'beta': 0.005, 'cfg_scale_text': 1.1, 'cfg_scale_visual': 1.0}
[2025-12-15 23:11:27] ID=8/16 | Status=FAILED | Duration=00:00:03.03 | Params={'d_epoch': 1, 'beta': 0.005, 'cfg_scale_text': 1.1, 'cfg_scale_visual': 1.1}
[2025-12-15 23:11:30] ID=9/16 | Status=FAILED | Duration=00:00:02.88 | Params={'d_epoch': 3, 'beta': 0.01, 'cfg_scale_text': 1.0, 'cfg_scale_visual': 1.0}
[2025-12-15 23:11:32] ID=10/16 | Status=FAILED | Duration=00:00:03.33 | Params={'d_epoch': 3, 'beta': 0.01, 'cfg_scale_text': 1.0, 'cfg_scale_visual': 1.1}
[2025-12-15 23:11:36] ID=11/16 | Status=FAILED | Duration=00:00:02.99 | Params={'d_epoch': 3, 'beta': 0.01, 'cfg_scale_text': 1.1, 'cfg_scale_visual': 1.0}
[2025-12-15 23:11:39] ID=12/16 | Status=FAILED | Duration=00:00:03.04 | Params={'d_epoch': 3, 'beta': 0.01, 'cfg_scale_text': 1.1, 'cfg_scale_visual': 1.1}
[2025-12-15 23:11:42] ID=13/16 | Status=FAILED | Duration=00:00:02.90 | Params={'d_epoch': 3, 'beta': 0.005, 'cfg_scale_text': 1.0, 'cfg_scale_visual': 1.0}
[2025-12-15 23:11:45] ID=14/16 | Status=FAILED | Duration=00:00:02.93 | Params={'d_epoch': 3, 'beta': 0.005, 'cfg_scale_text': 1.0, 'cfg_scale_visual': 1.1}
[2025-12-15 23:11:48] ID=15/16 | Status=FAILED | Duration=00:00:02.90 | Params={'d_epoch': 3, 'beta': 0.005, 'cfg_scale_text': 1.1, 'cfg_scale_visual': 1.0}
[2025-12-15 23:11:51] ID=16/16 | Status=FAILED | Duration=00:00:02.86 | Params={'d_epoch': 3, 'beta': 0.005, 'cfg_scale_text': 1.1, 'cfg_scale_visual': 1.1}
[2025-12-15 23:14:24] ID=1/16 | Status=SUCCESS | Duration=00:48:39.47 | Params={'d_epoch': 1, 'beta': 0.01, 'cfg_scale_text': 1.0, 'cfg_scale_visual': 1.0}
